OECD Development Cooperation Directorate (DCD-DAC),,,,,,,,,,,,,,,,
Single table - for 2025 data,,,, ,,,,,,,,,,,,
including codes for channel pilot project,,,,,,,,,,,,,,,,
Updated January 2026,,,,,,,,,,,,,,,,
https://www.oecd.org/en/topics/sub-issues/oda-eligibility-and-conditions/dac-list-of-oda-recipients.html,,,,,,,,,,,,,Work in progress,,,
,,,,,,,,,,,,,For non-reporting organisations,,,
46000,46012,2025,IDB,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund ",BID,"Banque interaméricaine de développement, Société interaméricaine d'investissements, Fonds multilatéral d'investissements",100,909,B02,B021,MCD,x,,,"Revised to exclude the words ""ordinary capital"": DCD/DAC/STAT(2009)6. Added:  DCD/DAC/STAT(2003)2",
46000,46025,2025,IsDB,Islamic Development Bank,BIsD,Banque Islamique de Développement,100,,B02,B021,Not MCD,x,,,Added:  DCD/DAC/STAT(2014)4,
46000,46021,2025,BOAD,West African Development Bank,BOAD,Banque ouest-africaine de développement,100,,B02,B021,MCD,,,,Added:  DCD/DAC/STAT(2011)16,
46000,46028,2025,NDB,New Development Bank,NDB,Nouvelle Banque de développement,100,,B02,B02,MCD,,,,Added: DCD/DAC/STAT(2025)57,
40000,47000,,,Other multilateral institution,,Autre institution multilatérale,,,,,,,,,,
47000,47111,2025,,Adaptation Fund,,Fonds pour l’adaptation,100,,B02,B022,MCD,x,,,Added:  DCD/DAC/STAT(2008)10,
47000,47009,2025,CAMES,African and Malagasy Council for Higher Education ,CAMES,Conseil africain et malgache pour l'enseignement supérieur,100,,B02,B021,Not MCD,,,,,
47000,47001,2025,ACBF,African Capacity Building Foundation ,ACBF,Fondation pour le renforcement des capacités en Afrique,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2001)6,
47000,47137,2025,ARC,African Risk Capacity Group,ARC,Mutuelle panafricaine de gestion des risques,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2014)4,
47000,47141,2025,ATAF,African Tax Administration Forum,ATAF,Forum sur l’Administration Fiscale Africaine,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2015)20,
47000,47005,2025,AU,African Union (excluding peacekeeping facilities) ,UA,Union Africaine (à l'exclusion de la Facilité de soutien à la paix),100,,B02,B021,MCD,,,,Renamed:  DCD/DAC/STAT(2003)2,
47000,21002,2025,AITIC,Agency for International Trade Information and Co-operation ,ACICI,Agence de coopération et d'information pour le commerce international,100,,B02,Not applicable,Not MCD,,,,Channel category changed:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2004)3 The agency is closed since 2011 but the channel code is maintained for historical data,
47000,47114,2025,AFoCO,Asian Forest Cooperation Organisation,AFoCO,Organisation asiatique de coopération forestière,100,,B02,B021,MCD,,,,Added: DCD/DAC/STAT(2021)4,
47000,47002,2025,APO,Asian Productivity Organisation ,APO,Organisation asiatique de productivité,100,,B02,B021,Not MCD,,,,,
47000,47109,2025,APEC ASF,Asia-Pacific Economic Cooperation Support Fund (except contributions tied to counter-terrorism activities),APEC-ASF,Fonds de soutien de la coopération économique Asie-Pacifique (hors lutte contre le terrorisme),100,,B02,B022,Not MCD,,,,Added:  DCD/DAC/STAT(2006)15,
47000,47068,2025,APFIC,Asia-Pacific Fishery Commission,APFIC,Commission Asie-Pacifique des pêches,100,,B02,B021,Not MCD,,,,Renamed:  DCD/DAC/STAT(2006)15,
47000,47003,2025,ASEAN,Association of South East Asian Nations: Economic Co-operation ,ANASE,Association des nations de l'Asie du Sud-Est - coopération économique,100,,B02,B021,MCD,,,,,
47000,47011,2025,CARICOM,Caribbean Community Secretariat ,CARICOM,Secrétariat de la Communauté des Caraïbes ,100,,B02,B021,MCD,,,,Added:  DCD/DAC/STAT(2005)9,
47000,47012,2025,CAREC,Caribbean Epidemiology Centre ,CAREC,Centre épidémiologique des Caraïbes,100,,B02,Not applicable,Not MCD,,,,"Renamed:  DCD/DAC/STAT(2008)5. The Centre has been merged with four caribbean regional health institutes into a single agency. The Caribbean Public Health Agency CARPHA. However, many member countries are not ODA recipients, so a review is needed to introduce CARPHA into the single list.",
47000,47145,2025,CEF,Center of Excellence in Finance,,,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2017)13,
47000,47112,2025,CEI-Climate Fund,Central European Initiative - Special Fund for Climate and Environmental Protection,CEI-Climate Fund,Initiative de l’Europe centrale -  Fonds Spécial pour la protection climatique et environnementale,100,,B02,B032,Not MCD,,,,Added:  DCD/DAC/STAT(2008)10,
47000,47015,2025,CGIAR,CGIAR Fund,CGIAR,CGIAR Fund,100,,B02,B022,MCD,,,,Code previously used for Consultative Group on International Agricultural Research (CGIAR) which changed governance structure and involved into the CGIAR Fund: DCD/DAC/STAT(2012)6/REV1.  Renamed:  DCD/DAC/STAT(2008)5.  Added:  DCD/DAC/STAT(2004)3,
47000,47134,2025,CTF,Clean Technology Fund,FTP,Fonds pour les technologies propres,100,,B02,B022,MCD,x,,,Added:  DCD/DAC/STAT(2013)9,
47000,47027,2025,CP ,Colombo Plan,CP,Plan de Colombo,100,,B02,B021,Not MCD,,,,Renamed:  DCD/DAC/STAT(2007)7,
47000,47105,2025,CFC,Common Fund for Commodities ,,Fonds commun pour les produits de base,100,,B02,B022,Not MCD,,,,Added:  DCD/DAC/STAT(2002)3,
47000,47013,2025,CF,Commonwealth Foundation ,CF,Fondation du Commonwealth,100,,B02,B021,Not MCD,,,,,
47000,47025,2025,COL,Commonwealth of Learning ,COL,Commonwealth of Learning,100,,B02,B021,Not MCD,,,,,
47000,47132,2025,,Commonwealth Secretariat (ODA-eligible contributions only),,Secrétariat du Commonwealth (seulement les contributions éligibles à l'APD),100,,B02,B021,Not MCD,,,,"Added:  Summary Record of 2012 WP-STAT meeting.  Includes contributions to the Commonwealth Fund for Technical Co-operation (CFTC), Commonwealth Media Development Fund (CMDF), Commonwealth Small States Office (CSSO) and the Commonwealth Youth Programme (CYP).",
47000,47026,2025,CPLP,Community of Portuguese Speaking Countries ,CPLP,Communauté des pays de langue portugaise ,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2005)9,
47000,47022,2025,CITES,Convention on International Trade in Endangered Species of Wild Flora and Fauna,CITES,Convention sur le commerce international des espèces de faune et de flore sauvages menacées d'extinction,100,,B02,B021,Not MCD,,,,,
47000,47138,2025,CoE,Council of Europe,CoE,Conseil de l’Europe,40,,B02,B021,MCD,,,,Added:  DCD/DAC/STAT(2014)4,
47000,41102,2025,DLCO-EA,Desert Locust Control Organisation for Eastern Africa ,OLCP-EA,Organisation de lutte contre le criquet pèlerin dans l'Est Africain,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47 Sub-entity of UNEP United Nations Environment Programme ,
47000,47037,2025,EROPA,Eastern-Regional Organisation of Public Administration ,EROPA,Organisation régionale de l'Orient pour l'administration publique,100,,B02,B021,Not MCD,,,,,
47000,47113,2025,CEMAC,Economic and Monetary Community of Central Africa ,CEMAC,Communauté économique et monétaire de l’Afrique Centrale,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2008)10,
47000,47034,2025,ECOWAS,Economic Community of West African States ,CEDEAO,Communauté économique des Etats de l’Afrique de l’Ouest,100,,B02,B021,MCD,,,,Added:  DCD/DAC/STAT(2003)2,
47000,47095,2025,EQAP,Educational Quality and Assessment Programme,EQAP,Programme d'évaluation et de qualité de l'éducation,100,,B02,B021,Not MCD,,,,"Added:  DCD/DAC/STAT(2001)6.Name change in 2015, previous name South Pacifid Board for Educational Assessment. Renamed in 2022.",
47000,47036,2025,EPPO,European and Mediterranean Plant Protection Organisation ,OEPP,Organisation Européenne et Méditerranéenne pour la Protection des Plantes,100,,B02,B021,Not MCD,,,,,
47000,47400,2025,,European Space Agency (ESA) programme “Space in support of International Development Aid” ,,,100,,B03,B032,Not MCD,,,,ODA-eligible but not added to Annex 2 List; channel code created in single table [DCD/DAC/STAT(2018)35].,
47000,47504,2025,FCPF,Forest Carbon Partnership Facility ,,,Not assessed,,B03,B032,Not MCD,,,,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.,
47000,47040,2025,FFA,Forum Fisheries Agency ,FFA,Agence des pêches ,100,,B02,B021,Not MCD,,,,Renamed:  DCD/DAC/STAT(2008)5,
47000,47106,2025,DCAF,Geneva Centre for the Democratic Control of Armed Forces,DCAF,Centre de contrôle démocratique des forces armées - Genève,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2007)7.  For reference see also DCD/DAC/STAT(2006)15.,
47000,47123,2025,GICHD,Geneva International Centre for Humanitarian Demining ,CIDHG,Centre International de Déminage Humanitaire Genève,100,,B02,B021,Not MCD,,,,Reclassified:  DCD/DAC/STAT(2006)15  Added:  DCD/DAC/STAT(2003)2,
47000,47503,2025,GAFSP,Global Agriculture and Food Security Program,,,100,,B03,B031,Not MCD,,,,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.,
47000,47122,2025,GAVI,Global Alliance for Vaccines and Immunization ,GAVI,Alliance mondiale pour la vaccination et l’immunisation,100,1311,B02,B022,MCD,x,,,Reclassified:  DCD/DAC/STAT(2008)10  Added:  DCD/DAC/STAT(2003)2,
47000,47143,2025,GCERF,Global Community Engagement and Resilience Fund,GCERF,Fonds mondial pour l’engagement de la communauté et la résilience,100,,B02,B022,MCD,,,,Added:  DCD/DAC/STAT(2016)23/REV1,
47000,47129,2025,GEF-LDCF,Global Environment Facility - Least Developed Countries Fund,FEM - FPMA,FEM Fonds pour les pays les moins avancés,100,,B02,B022,MCD,x,,,Added: DCD/DAC/STAT(2010)5,
47000,47130,2025,GEF-SCCF,Global Environment Facility - Special Climate Change Fund,FEM - FSpCC,FEM Fonds spécial pour les changements climatiques,100,,B02,B022,MCD,x,,,Added: DCD/DAC/STAT(2010)5,
47000,47044,2025,GEF,Global Environment Facility Trust Fund,FEM,Fonds pour l'environnement mondial - fonds fiduciaire,100,811,B02,B022,MCD,x,,,Coefficient increased from 96%: DCD/DAC/STAT(2010)5.  Coefficient updated:  DCD/DAC/STAT(2008)10    Coefficient agreed:  DCD/DAC/STAT(2003)2,
47000,47502,2025,GFDRR,Global Fund for Disaster Risk Reduction,GFDRR,Dispositif mondial pour la réduction des risques de catastrophes,Not assessed,,B03,B031,Not MCD,,,,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.,
47000,47045,2025,Global Fund,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",Fonds mondial,"Fonds mondial de lutte contre le SIDA, la tuberculose et la paludisme",100,1312,B02,B022,MCD,x,,,Added:  DCD/DAC/STAT(2003)2,
47000,47136,2025,GGGI,Global Green Growth Institute,GGGI,Institut mondial de la croissance verte,100,,B02,B021,MCD,x,,,Added:  DCD/DAC/STAT(2013)12,
47000,47501,2025,GPE,Global Partnership for Education,PME,Partenariat Mondial pour l'Education,Not assessed,,B03,B031,Not MCD,,,,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.,
47000,41317,2025,GCF,Green Climate Fund,GCF,Fonds vert pour le climat,100,,B02,B022,MCD,,,,Channel category changed:  DCD/DAC/STAT(2016)23/REV1; Added:  DCD/DAC/STAT(2015)20,
47000,47116,2025,IF,Integrated Framework for Trade-Related Technical Assistance to Least Developed Countries,CI,Cadre intégré pour l'assistance technique liée au commerce en faveur des pays les moins avancés,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2008)10,
47000,47061,2025,IICA,Inter-American Institute for Co-operation on Agriculture ,IICA,Institut interaméricain de coopération pour l’agriculture,100,,B02,B021,Not MCD,,,,,
47000,47067,2025,IPCC,Intergovernmental Panel on Climate Change ,GIEC,Groupe d’experts intergouvernemental sur l’évolution du climat,100,,B02,B021,Not MCD,,,,,
47000,47124,2025,IACA,International Anti-Corruption Academy,IACA,Académie internationale de lutte contre la corruption,100,,B02,B021,MCD,,,,Added: DCD/DAC/STAT(2021)4,
47000,47019,2025,CIHEAM,International Centre for Advanced Mediterranean Agronomic Studies ,CIHEAM,Centre international de hautes études agronomique méditerranéennes,100,,B02,B021,Not MCD,,,,,
47000,47125,2025,ICGEB,International Centre for Genetic Engineering and Biotechnology,ICGEB,Centre international de génie génétique et de biotechnologie,26,,B02,B021,MCD,,,,Added: DCD/DAC/STAT(2021)4,
47000,47149,2025,ICMP,International Commission on Missing Persons,CIPD,Commission internationale pour les personnes disparues,100,,B02,B021,,,,,Added: DCD/DAC/STAT(2021)25,
47000,47050,2025,ICAC,International Cotton Advisory Committee ,CCIC,Comité consultatif international du coton,100,,B02,B021,Not MCD,,,,,
47000,47059,2025,IDLO,International Development Law Organisation ,IDLO,Organisation internationale de droit du développement ,100,,B02,B021,Not MCD,,,,Renamed:  DCD/DAC/STAT(2006)15,
47000,47147,2025,IFFEd,International Finance Facility for Education,IFFEd,Facilité internationale de financement pour l'éducation,100,,B02,B022,Not MCD,,,,Added: DCD/DAC/STAT(2019)34,
47000,47107,2025,IFFIm,International Finance Facility for Immunisation,IFFIm,Facilité internationale de financement pour la vaccination,100,,B02,B022,MCD,x,,,Added:  DCD/DAC/STAT(2007)10,
47000,47058,2025,IDEA,International Institute for Democracy and Electoral Assistance ,IDEA,International Institute for Democracy and Electoral Assistance,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2003)2,
47000,47146,2025,IIB,International Investment Bank (IIB),,,29,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2019)17,
47000,47064,2025,INBAR,International Network for Bamboo and Rattan ,INBAR,Réseau International sur le bambou et le rotin,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2005)9,
47000,47046,2025,OIF,International Organisation of the Francophonie,OIF,Organisation internationale de la Francophonie ,100,,B02,B021,MCD,,,,Renamed:  DCD/DAC/STAT(2007)7,
47000,47144,2025,IRENA,International Renewable Energy Agency,IRENA,Agence internationale pour les energies renouvelables,66,,B02,B021,MCD,,,,Added:  DCD/DAC/STAT(2016)23/REV1,
47000,47073,2025,ITTO,International Tropical Timber Organisation ,OIBT,Organisation Internationale des Bois Tropicaux,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2002)3,
47000,47074,2025,IVI,International Vaccine Institute ,IIV,Institut international de vaccins ,100,,B02,B021,Not MCD,,,,"Renamed:  DCD/DAC/STAT(2001)6 (Supressed the notation ""core budget contributions only"".)",
47000,47076,2025,JSCA,Justice Studies Centre of the Americas ,JSCA,Centre d’études sur la justice dans les Amériques,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2005)9,
47000,47127,2025,OLADE,Latin-American Energy Organisation,OLADE,Organisation latino-américaine de l'énergie,100,,B02,B021,Not MCD,,,,Added: DCD/DAC/STAT(2009)6,
47000,47077,2025,MRC,Mekong River Commission ,MRC,Commission du Mékong,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2003)2,
47000,47117,2025,NEPAD,New Partnership for Africa's Development,NEPAD,Nouveau Partenariat pour le développement de l’Afrique,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2008)10,
47000,47128,2025,NDF,Nordic Development Fund,NDF,Nordic Development Fund,100,,B02,B021,MCD,x,,,Added: DCD/DAC/STAT(2010)5,
47000,47081,2025,OECD-Dev. Centre,OECD Development Centre ,OCDE-Centre de dév. ,OCDE Centre de développement,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2004)3,
47000,47142,2025,OFID,OPEC Fund for International Development,OFID,Le Fonds OPEP pour le développement international,100,,B02,B022,MCD,x,,,Added:  DCD/DAC/STAT(2015)20,
47000,47080,2025,OECD,Organisation for Economic Co-operation and Development (Contributions to special funds for Technical Co-operation Activities Only) ,OCDE,Organisation de Coopération et de développement économiques (contributions aux fonds spéciaux pour les activités de coopération technique uniquement),100,,B02,B022,Not MCD,,,,,
47000,47079,2025,OAS,Organisation of American States ,OEA,Organisation des États américains,100,,B02,B021,MCD,,,,,
47000,47082,2025,OECS,Organisation of Eastern Caribbean States ,OECO,Organisation des États des Caraïbes orientales,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2005)9,
47000,47140,2025,OEI,"Organisation of Ibero-American States for Education, Science and Culture",,Organización de Estados Iberoamericanos,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2014)4,
47000,47110,2025,BSEC,Organisation of the Black Sea Economic Cooperation,BSEC,Organisation de coopération économique de la mer Noire,78,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2007)7.  For reference see DCD/DAC/STAT(2006)15.,
47000,47131,2025,OSCE,Organization for Security and Co-operation in Europe,OSCE,Organisation pour la sécurité et la oopération en Europe,74,,B02,B021,MCD,x,,,Added:  DCD/DAC/STAT(2011)18,
47000,47087,2025,PIFS,Pacific Islands Forum Secretariat ,SFIP,Secrétariat du Forum des Iles du Pacifique,100,,B02,B021,Not MCD,,,,,
47000,47097,2025,SPREP,Pacific Regional Environment Programme ,PROE,Programme régional océanien de l’environnement,100,,B02,B021,Not MCD,,,,Renamed:  DCD/DAC/STAT(2006)15,
47000,47084,2025,PAIGH,Pan-American Institute of Geography and History ,PAIGH,Institut panaméricain de géographie et d’histoire,100,,B02,B021,Not MCD,,,,,
47000,47086,2025,PIDG,Private Infrastructure Development Group ,PIDG,Private Infrastructure Development Group,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2003)2,
47000,47118,2025,CREFIAF,Regional Organisation for the Strengthening of Supreme Audit Institutions of Francophone Sub-Saharan Countries,CREFIAF,Conseil Régional de Formation des Institutions Supérieures de Contrôle des Finances Publiques d’Afrique Francophone Subsaharienne,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2008)10,
47000,47119,2025,OSS,Sahara and Sahel Observatory,OSS,Observatoire du Sahara et du Sahel,100,,B02,B021 ,Not MCD,,,,Added:  DCD/DAC/STAT(2008)10,
47000,47029,2025,SWAC,Sahel and West Africa Club ,CSAO,Club du Sahel et de l’Afrique de l’Ouest ,100,,B02,B021,Not MCD,,,,Renamed:  DCD/DAC/STAT(2008)5,
47000,47096,2025,SPC,Secretariat of the Pacific Community ,CPS,Secrétariat Général de la Communauté du Pacifique,100,,B02,B021,MCD,,,,Renamed:  DCD/DAC/STAT(2008)5,
47000,47120,2025,SAARC,South Asian Association for Regional Cooperation ,SAARC,Association de l'Asie du Sud pour la coopération régionale,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2008)10,
47000,47092,2025,SEAFDC,South East Asian Fisheries Development Centre ,SEAFDC,Centre de développement des pêches de l’Asie du Sud-Est,100,,B02,B021,Not MCD,,,,,
47000,47093,2025,SEAMEO,South East Asian Ministers of Education ,SEAMEO,Organisation des Ministres de l’éducation de l’Asie du Sud-Est,100,,B02,B021,Not MCD,,,,,
47000,47089,2025,SADC,Southern African Development Community ,SADC,Communauté pour le développement de l’Afrique australe,100,,B02,B021,MCD,,,,Added:  DCD/DAC/STAT(2003)2,
47000,47135,2025,SCF,Strategic Climate Fund,FSC,Fonds stratégique pour le climat,100,,B02,B022,MCD,x,,,Added:  DCD/DAC/STAT(2013)9,
47000,47121,2025,UCLGA,United Cities and Local Governments of Africa,CGLUA,Cités et gouvernements locaux unis d’Afrique,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2008)10,
47000,47098,2025,UNPO,Unrepresented Nations and Peoples’ Organisation ,UNPO,Organisation des peuples et des nations non représentés,100,,B02,B021,Not MCD,,,,,
47000,47100,2025,WAMU,West African Monetary Union ,UMOA,Union monétaire ouest-africaine,100,,B02,B021,Not MCD,,,,Added:  DCD/DAC/STAT(2003)2,
47000,47139,2025,WCO CCF,World Customs Organization Customs Co-operation Fund,OMD CCF,Organisation Mondiale des Douanes Fonds de coopération douanière,100,,B02,B033,Not MCD,,,,Added:  DCD/DAC/STAT(2014)4,
47000,47148,2025,WOAH,World Organisation for Animal Health,WOAH,Organisation mondiale de la santé animale,61,,B02,B021,Not MCD,,,,Added: DCD/DAC/STAT(2019)34,
47000,47150,2025,SEGIB,Secretariat General Iberoamericana,SEGIB,Secretariat General Iberoamericana,100,,B02,B021,Not MCD,,,,Added: DCD/DAC/STAT(2023)43,
47000,47151,2025,BADEA,Arab Bank for Reconstruction and Development,BADEA,Banque Arabe de Développement Economique en Afrique,100,,B02,B02,MCD,,,,Added: DCD/DAC/STAT(2025)57,
47000,47152,2025,AFESD,Arab Fund for Economic and Social Development,FADES,Fonds Arabe pour le Développement Economique et Social,100,,B02,B02,Not MCD,,,,Added: DCD/DAC/STAT(2025)57,
47000,47701,2025,GBFF,GEF Global Biodiversity Framework Fund ,FEM_FCMB,Fonds du cadre mondial pour la biodiversité,100,,B02,B02,Not MCD,,,,Added: DCD/DAC/STAT(2025)57,
51000,51000,,,"University, college or other teaching institution, research institute or think‑tank",,"Université, institut d’éducation et autre institution d’enseignement, institut de recherche ou groupe de réflexion",,,,,,,,,,
51000,47101,2025,WARDA,Africa Rice Centre,ADRAO,Centre du riz pour l’Afrique,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1. Renamed:  DCD/DAC/STAT(2006)15 Renamed:  DCD/DAC/STAT(2008)10,
51000,47069,2025,,Bioversity International,,Bioversity International,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1. Renamed:  DCD/DAC/STAT(2008)5,
51000,47018,2025,CIFOR,Centre for International Forestry Research ,CIFOR,Centre de recherche forestière internationale ,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.  Added:  DCD/DAC/STAT(2004)3,
51000,21004,2025,CODESRIA,Council for the Development of Economic and Social Research in Africa ,CODESRIA,Conseil pour le développement de la recherche en sciences sociales en Afrique,100,,B01,B01,Not MCD,,,,"Not a major channel of delivery, channel category changed:  DCD/DAC/STAT(2011)7/REV1.  ",
51000,47041,2025,FFTC,Food and Fertilizer Technology Centre ,FFTC,Centre des techniques de l'alimentation et des engrais,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.,
51000,21009,2025,FARA,Forum for Agricultural Research in Africa ,FARA,Forum pour la recherche agricole en Afrique,100,,B01,B01,Not MCD,,,,"Not a major channel of delivery, channel category changed:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2005)9",
51000,47047,2025,IAI,International African Institute ,IIA,Institut international africain,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.,
51000,47051,2025,ICARDA,International Centre for Agricultural Research in Dry Areas ,ICARDA,Centre international de recherche agricole dans les zones arides,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.,
51000,47055,2025,ICRA,International Centre for Development Oriented Research in Agriculture ,ICRA,Centre International pour la Recherche Agricole orientée vers le développement,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1. Added:  DCD/DAC/STAT(2001)6,
51000,47053,2025,"ICDDR,B","International Centre for Diarrhoeal Disease Research, Bangladesh","ICDDR,B","International Centre for Diarrhoeal Disease Research, Bangladesh",100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1. Renamed:  DCD/DAC/STAT(2011)16.  Renamed:  DCD/DAC/STAT(2006)15,
51000,47017,2025,CIAT,International Centre for Tropical Agriculture ,CIAT,Centre international d'agriculture tropicale,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.,
51000,47054,2025,ICIPE,International Centre of Insect Physiology and Ecology ,ICIPE,Centre international sur la physiologie et l’écologie des insectes,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.,
51000,47057,2025,ICRISAT,International Crop Research for Semi-Arid Tropics ,ICRISAT,Institut international de recherche sur les cultures des zones tropicales semi-arides,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.,
51000,51001,2025,IFPRI,International Food Policy Research Institute,IFPRI,Institut International de Recherche sur les Politiques Alimentaires,100,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2014)4,
51000,21021,2025,IIED,International Institute for Environment and Development ,IIED,Institut international pour l’environnement et le développement,100,,B01,B01,Not MCD,,,,"Not a major channel of delivery, channel category changed:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2005)9",
51000,21039,2025,IISD,International Institute for Sustainable Development,IIDD,Institut international de développement durable,100,,B01,B01,Not MCD,,,,"Not a major channel of delivery, channel category changed:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2007)7",
51000,47062,2025,IITA,International Institute of Tropical Agriculture ,IITA,Institut international d’agriculture tropicale,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.,
51000,47063,2025,ILRI,International Livestock Research Institute ,ILRI,International Livestock Research Institute,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1. Result of a merger between the International Centre for Livestock in Africa (ILCA) and the International Laboratory for Research on Animal Diseases (ILRAD):  DCD/DAC/STAT(2002)3.,
51000,47020,2025,CIMMYT,International Maize and Wheat Improvement Centre ,CIMMYT,Centre international d’amélioration du maïs et du blé ,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.  Added:  DCD/DAC/STAT(2004)3,
51000,47021,2025,CIP,International Potato Centre ,CIP,Centre international de la pomme de terre,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.,
51000,47070,2025,IRRI,International Rice Research Institute ,IIRR,Institut international de recherche sur le riz,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.,
51000,47071,2025,ISTA,International Seed Testing Association ,ISTA,Association internationale d’essais de semences,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.,
51000,47075,2025,IWMI,International Water Management Institute ,IWMI,Institut international de gestion des ressources en eau,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1. Added:  DCD/DAC/STAT(2004)3,
51000,47099,2025,USP,University of the South Pacific ,USP,Université du Pacifique Sud,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.,
51000,47056,2025,ICRAF,World AgroForestry Centre,ICRAF,Centre mondial de l’agroforesterie,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1. Renamed:  DCD/DAC/STAT(2006)15,
51000,47103,2025,WMU,World Maritime University ,UMM,Université maritime mondiale,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.,
51000,47008,2025,AVRDC,World Vegetable Centre,AVRDC,Centre international de cultures maraîchères,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.  Renamed:  DCD/DAC/STAT(2006)15,
51000,47104,2025,WorldFish Centre,WorldFish Centre,WorldFish Centre,Centre international pour l’aménagement des ressources bioaquatiques,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1. Added:  DCD/DAC/STAT(2004)3,
60000,60000,,,Private sector institutions,,Institutions du Secteur Privé,,,,,,,,,,
60000,61000,,,Private sector in provider country,,Secteur privé du pays donneur,,,,,,,,,,
61000,61001,2025,,Banks (deposit taking corporations),,Banques (institutions de dépôts),,,,,,,,,DCD/DAC/STAT(2018)9/ADD1/FINAL; DCD/DAC/STAT(2016)20/REV,
